"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"253"	"PSMD1"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"254"	"PSMD13"	"PSMC5"	"PA700 complex"	"Cytosol"	"Cytosol"
"255"	"PSMD2"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"256"	"PSMD6"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"257"	"PSMD5"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"258"	"PSMD1"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"259"	"PSMD13"	"PSMC6"	"PA700 complex"	"Cytosol"	"Cytosol"
"260"	"PSMD6"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"261"	"PSMD5"	"PSMD2"	"PA700 complex"	"Cytosol"	"Cytosol"
"262"	"PSMD2"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"263"	"PSMD2"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"264"	"PSMD6"	"PSMD5"	"PA700 complex"	"Cytosol"	"Cytosol"
"265"	"PSMD6"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"266"	"PSMD6"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"267"	"PSMD5"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"268"	"PSMD5"	"PSMD13"	"PA700 complex"	"Cytosol"	"Cytosol"
"269"	"PSMD13"	"PSMD1"	"PA700 complex"	"Cytosol"	"Cytosol"
"270"	"AP1G2"	"AP1G1"	"AP1 adaptor complex"	"Cytosol"	NA
"271"	"AP1S2"	"AP1G1"	"AP1 adaptor complex"	"Cytosol"	NA
"272"	"AP1S1"	"AP1G1"	"AP1 adaptor complex"	"Cytosol"	NA
"273"	"AP1G1"	"AP1B1"	"AP1 adaptor complex"	NA	"Cytosol"
"274"	"AP1S3"	"AP1G1"	"AP1 adaptor complex"	NA	NA
"275"	"AP1M1"	"AP1G1"	"AP1 adaptor complex"	"Cytosol"	NA
"276"	"AP1M2"	"AP1G1"	"AP1 adaptor complex"	"Cytosol"	NA
"277"	"AP1S2"	"AP1G2"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"278"	"AP1S1"	"AP1G2"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"279"	"AP1G2"	"AP1B1"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"280"	"AP1S3"	"AP1G2"	"AP1 adaptor complex"	NA	"Cytosol"
"281"	"AP1M1"	"AP1G2"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"282"	"AP1M2"	"AP1G2"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"283"	"AP1S2"	"AP1S1"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"284"	"AP1S2"	"AP1B1"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"285"	"AP1S3"	"AP1S2"	"AP1 adaptor complex"	NA	"Cytosol"
"286"	"AP1S2"	"AP1M1"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
"287"	"AP1S2"	"AP1M2"	"AP1 adaptor complex"	"Cytosol"	"Cytosol"
