"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"322"	"ENSG00000004487"	"ENSG00000118194"	"TNNT2"	"KDM1A"
"323"	"ENSG00000004487"	"ENSG00000120860"	"WASHC3"	"KDM1A"
"324"	"ENSG00000004487"	"ENSG00000121058"	"KDM1A"	"COIL"
"325"	"ENSG00000004487"	"ENSG00000123349"	"PFDN5"	"KDM1A"
"326"	"ENSG00000004487"	"ENSG00000123609"	"NMI"	"KDM1A"
"327"	"ENSG00000004487"	"ENSG00000131738"	"KRT33B"	"KDM1A"
"328"	"ENSG00000004487"	"ENSG00000136997"	"MYC"	"KDM1A"
"329"	"ENSG00000004487"	"ENSG00000138100"	"TRIM54"	"KDM1A"
"330"	"ENSG00000004487"	"ENSG00000139722"	"VPS37B"	"KDM1A"
"331"	"ENSG00000004487"	"ENSG00000140481"	"KDM1A"	"CCDC33"
"332"	"ENSG00000004487"	"ENSG00000140859"	"KIFC3"	"KDM1A"
"333"	"ENSG00000004487"	"ENSG00000141013"	"KDM1A"	"GAS8"
"334"	"ENSG00000004487"	"ENSG00000141425"	"RPRD1A"	"KDM1A"
