"SymbolA"	"SymbolB"
"675"	"PCNT"	"MZT1"
"676"	"TUBGCP5"	"MZT1"
"677"	"TUBGCP4"	"MZT1"
"678"	"TUBG1"	"MZT1"
"679"	"TUBGCP3"	"MZT1"
"680"	"TUBGCP6"	"MZT1"
"681"	"MZT2A"	"MZT1"
"682"	"MZT2B"	"MZT1"
"683"	"NME7"	"MZT1"
"684"	"TRIM62"	"NRGN"
"685"	"NRGN"	"EFCAB7"
"686"	"SEMG2"	"NUPR1"
"687"	"SEMG1"	"NUPR1"
"688"	"TMBIM6"	"C5orf46"
"689"	"TYMS"	"PKIG"
"690"	"PRKACG"	"PKIG"
"691"	"PRKACB"	"PKIG"
"692"	"ROMO1"	"ERAP1"
"693"	"SMR3B"	"CRTAP"
"694"	"SMR3B"	"BCHE"
"695"	"SNRPG"	"SNRPC"
"696"	"SNRPG"	"SNRPA"
"697"	"SNRPG"	"SNRPB2"
"698"	"SNRPG"	"PDCD7"
"699"	"SNRPG"	"PRPF3"
"700"	"SNRPG"	"SF3B1"
"701"	"TOE1"	"SNRPG"
"702"	"SNRPG"	"PRPF6"
"703"	"SNRPG"	"DDX20"
